questions,category
"Can u do surgery13 weeks after initial injury to repair ulna&radius broken mid shaft showing poor bone healing&appears to be healing ""bowed"" (bad angle?",Treatment Details
Can you tell me about the most common genetic disorder?,Specific Health Conditions and Diseases
"Cold worse after 10 days. Symptoms: phlegm, shorter breath, chest pain, eyelids sealed by mucus at night. Is it more than a cold? What do I do next?",Specific Health Conditions and Diseases
Could ovarian cysts enlarge during ovulation?,Specific Health Conditions and Diseases
"Cut my finger about 10hrs ago. It looked deep quickly cleaned and dressed it, now you can barely tell I cut it. Is it possible to heal this quicly?",Treatment Details
Does Adderall (dextroamphetamine and racemic amphetamine) make eyes itch?,Medication Information
Does any one get cancer of the blood?,Specific Health Conditions and Diseases
Does chronic laxative use lead to bacteria imbalance in the gut??,General Health Information
Do people who suffer impaired cognition as a result of a brain tumor recover their faculties?,Diagnosis Explanation
Do you think there's ever going to be a cure for herpes? Or are people already trying to find a cure? Do you think there's a chance of finding a cure?,General Health Information
Effects of drinking alcohol on the body fat?,Lifestyle and Health
"Eyes feeling dry last couple of days. One eye became mildly red with clear mucus, next day the mucous was yellow with eye irritation. Mucous in throat?",Specific Health Conditions and Diseases
Flu like symptoms for about 3weeks. Now symptoms are gone. Have been having coughing fits now for 1week chest is really hurting. What to do?,Specific Health Conditions and Diseases
"For people with arthritis, is it painful to pop knuckles, like hand knuckles?",Specific Health Conditions and Diseases
For the 1st time a lot of clear colorless odorless liquid gushed out of vagina 2 days after sex with my partner of 2 years. Had my period a week later,Specific Health Conditions and Diseases
"Had Yellow stool for almost 4months with no other symptoms,it turned to dark green 3days ago,no iron supplements Should i worry ?",Specific Health Conditions and Diseases
"Have water fluid on feet and legs pretty bad, already on water pills....Have a hard time sleeping and fine it hard to walk... Should I go to the er?",Specific Health Conditions and Diseases
"Hello docs, is atherectomy better than stent procedure?",Treatment Details
Hello. I have bloodly discharge and a little pain in my lower stomach and back. When I wipe after peeing I can see it and sometimes its mucus like..,Specific Health Conditions and Diseases
He touched my vulva nd clit with his fingers nd am not sure if he had ejacultion or not. That was on the 9 th day of a regular 28 days period. Chance?,Specific Health Conditions and Diseases
Hi. I have been having ear pain in my right ear. It started on Thursday maybe and It just keeps hurting.?,Specific Health Conditions and Diseases
How are baby and adult cartilage different?,Specific Health Conditions and Diseases
How can I deal with anxeity without medication?,Lifestyle and Health
How can I heal a third degree burn?,Treatment Details
How can I help a depressed friend?,Lifestyle and Health
"How can I improve my posture? I have at least 4 inches of head forward tilt from rounded shoulders. Remembering just to stand up straight, no.",Lifestyle and Health
How can I stop my hands getting chaped and dry ?,Lifestyle and Health
"How can you tell the difference between hemmorhoids and colon cancer? Even though the symptoms are very similar, what are the major differences?",Diagnosis Explanation
How come so many medical doctors do not believe that adrenal fatigue is a real issue?,Diagnosis Explanation
"How do I calculate the number of days that my period lasts? It flows for like 6 days, but on the 7th day it drops just little like spotting. Please",Lifestyle and Health
How do I stop my cold sore from peeling?   When a cold sore peels is it supposed to bleed?,Treatment Details
How do you know the difference between diverticulitis and colitis?,Diagnosis Explanation
How do you know when you are undergoing respiratory depression? Extremetly fatigues,Specific Health Conditions and Diseases
How many hours does it take to get food poisining with ice cream? (chocolate ice cream),Specific Health Conditions and Diseases
How many mg. Of potassium do I need daily from a regular diet to be healthy?,Lifestyle and Health
"How much water should a 60lb 10 year old child consume daily? We were told at least 64oz, but this seems too much for her to drink. She has eds w/pots",Lifestyle and Health
How to reat l1-5 bulged discs significant pain?,Treatment Details
How would doctors recommend I treat painful headaches or migraines?,Treatment Details
I can't see in the dark as well as others can? Do I need carrots or vitamin a?,Lifestyle and Health
I did not get my period for 2 months early this year. I consulted an OBGyne who is a friend of my brother. I also consulted her since I've been having brown discharge and I was alarmed. She said that I might have PCOS. She advised me to take Provera 10mg,Diagnosis Explanation
I eat vegetable curry daily (different types) every meal. Does this count towards my 5 a day and is this a healthy way of eating veggies?,Lifestyle and Health
If 5 mth. Old baby has mrsa(the skin disease that causes boils) doctor gave her medicine but what soap to wash her with?  She also has ezema on skin.,Medication Information
If I have a 33 day cycle & I start chlomid on days 5-9 when should I have intercourse?,Treatment Details
If I have sex the day before I ovulate when would I conceive?,Specific Health Conditions and Diseases
"I had parts of my colon removed. I'm fine, but I have diarrhea everyday and can't seem to find a right diet for me! what can I do?",Treatment Details
I had water in my ear so I used ear drops for swimmers ear. Now I can't hear and the drops are stuck in my ear.,Treatment Details
I have a flu with dry cough and in the morning it's phlem. What cough syrup would be suitable? Also aches and probably a UTI so getting that checked.,Medication Information
"I have a headache, dizziness and blurred vision and i just got into a fender bender, should I be worried, and what is this a sign of?",Specific Health Conditions and Diseases
"I have an awful headache, what I should do?",Treatment Details
I have asthma.  I take proventil (albuterol) but i still have trouble breathing--what can I do for this?,Treatment Details
I have been having lightheadedness for a while. Would a CT of head and an MRI with contrast of brain detect blockages in arteries?,Diagnosis Explanation
I have had bad stomach cramp with a few diarrohea for last few days . Is it an ulcer or flu?,Diagnosis Explanation
